text,category
Chemical raw materials for production,Inventory
Spare parts for machinery maintenance,Inventory
Mobile phones bulk purchase for resale,Inventory
LED panels wholesale purchase,Inventory
Printing supplies and raw ink stock,Inventory
Nuts bolts and fasteners stock purchase,Inventory
Plastic granules for manufacturing,Inventory
Wood and plywood purchase for furniture,Inventory
Finished goods transfer to warehouse inventory,Inventory
Blue Dart shipping charges for warehouse delivery ₹7796,Logistics
Delhivery shipping charges for warehouse delivery ₹2139,Logistics
DTDC shipping charges for warehouse delivery ₹18524,Logistics
FedEx shipping charges for warehouse delivery ₹16549,Logistics
India Post shipping charges for warehouse delivery ₹15128,Logistics
Blue Dart shipping charges for warehouse delivery ₹9644,Logistics
Delhivery shipping charges for warehouse delivery ₹7217,Logistics
DTDC shipping charges for warehouse delivery ₹6197,Logistics
FedEx shipping charges for warehouse delivery ₹28151,Logistics
India Post shipping charges for warehouse delivery ₹2582,Logistics
Blue Dart shipping charges for warehouse delivery ₹2452,Logistics
Delhivery shipping charges for warehouse delivery ₹6640,Logistics
DTDC shipping charges for warehouse delivery ₹14828,Logistics
FedEx shipping charges for warehouse delivery ₹15747,Logistics
India Post shipping charges for warehouse delivery ₹33618,Logistics
Blue Dart shipping charges for warehouse delivery ₹2239,Logistics
Delhivery shipping charges for warehouse delivery ₹13531,Logistics
DTDC shipping charges for warehouse delivery ₹27993,Logistics
FedEx shipping charges for warehouse delivery ₹14946,Logistics
India Post shipping charges for warehouse delivery ₹29939,Logistics
Blue Dart shipping charges for warehouse delivery ₹18731,Logistics
Delhivery shipping charges for warehouse delivery ₹925,Logistics
DTDC shipping charges for warehouse delivery ₹10963,Logistics
FedEx shipping charges for warehouse delivery ₹28196,Logistics
India Post shipping charges for warehouse delivery ₹22798,Logistics
Blue Dart shipping charges for warehouse delivery ₹18710,Logistics
Delhivery shipping charges for warehouse delivery ₹10689,Logistics
DTDC shipping charges for warehouse delivery ₹14610,Logistics
FedEx shipping charges for warehouse delivery ₹22559,Logistics
India Post shipping charges for warehouse delivery ₹7198,Logistics
Blue Dart shipping charges for warehouse delivery ₹6578,Logistics
Delhivery shipping charges for warehouse delivery ₹25398,Logistics
DTDC shipping charges for warehouse delivery ₹6838,Logistics
FedEx shipping charges for warehouse delivery ₹24026,Logistics
India Post shipping charges for warehouse delivery ₹23041,Logistics
Blue Dart shipping charges for warehouse delivery ₹17835,Logistics
Delhivery shipping charges for warehouse delivery ₹3347,Logistics
DTDC shipping charges for warehouse delivery ₹30608,Logistics
FedEx shipping charges for warehouse delivery ₹8680,Logistics
India Post shipping charges for warehouse delivery ₹25307,Logistics
Blue Dart shipping charges for warehouse delivery ₹5664,Logistics
Delhivery shipping charges for warehouse delivery ₹19713,Logistics
DTDC shipping charges for warehouse delivery ₹24200,Logistics
FedEx shipping charges for warehouse delivery ₹13101,Logistics
India Post shipping charges for warehouse delivery ₹5058,Logistics
Blue Dart shipping charges for warehouse delivery ₹3503,Logistics
Delhivery shipping charges for warehouse delivery ₹15435,Logistics
DTDC shipping charges for warehouse delivery ₹19465,Logistics
FedEx shipping charges for warehouse delivery ₹5729,Logistics
India Post shipping charges for warehouse delivery ₹15756,Logistics
Flipkart office supplies purchase invoice ₹7119,Office Supplies
Amazon office supplies purchase invoice ₹25411,Office Supplies
Reliance office supplies purchase invoice ₹18717,Office Supplies
Staples office supplies purchase invoice ₹30214,Office Supplies
Office Depot office supplies purchase invoice ₹24409,Office Supplies
Flipkart office supplies purchase invoice ₹11159,Office Supplies
Amazon office supplies purchase invoice ₹24760,Office Supplies
Reliance office supplies purchase invoice ₹23783,Office Supplies
Staples office supplies purchase invoice ₹14230,Office Supplies
Office Depot office supplies purchase invoice ₹17996,Office Supplies
Flipkart office supplies purchase invoice ₹5179,Office Supplies
Amazon office supplies purchase invoice ₹11715,Office Supplies
Reliance office supplies purchase invoice ₹16543,Office Supplies
Staples office supplies purchase invoice ₹11208,Office Supplies
Office Depot office supplies purchase invoice ₹30794,Office Supplies
Flipkart office supplies purchase invoice ₹25367,Office Supplies
Amazon office supplies purchase invoice ₹18191,Office Supplies
Reliance office supplies purchase invoice ₹14892,Office Supplies
Staples office supplies purchase invoice ₹21752,Office Supplies
Office Depot office supplies purchase invoice ₹4165,Office Supplies
Flipkart office supplies purchase invoice ₹15510,Office Supplies
Amazon office supplies purchase invoice ₹2603,Office Supplies
Reliance office supplies purchase invoice ₹21173,Office Supplies
Staples office supplies purchase invoice ₹26790,Office Supplies
Office Depot office supplies purchase invoice ₹18046,Office Supplies
Flipkart office supplies purchase invoice ₹4837,Office Supplies
Amazon office supplies purchase invoice ₹14326,Office Supplies
Reliance office supplies purchase invoice ₹21122,Office Supplies
Staples office supplies purchase invoice ₹14434,Office Supplies
Office Depot office supplies purchase invoice ₹33217,Office Supplies
Flipkart office supplies purchase invoice ₹26428,Office Supplies
Amazon office supplies purchase invoice ₹30571,Office Supplies
Reliance office supplies purchase invoice ₹9863,Office Supplies
Staples office supplies purchase invoice ₹17859,Office Supplies
Office Depot office supplies purchase invoice ₹9650,Office Supplies
Flipkart office supplies purchase invoice ₹16662,Office Supplies
Amazon office supplies purchase invoice ₹17719,Office Supplies
Reliance office supplies purchase invoice ₹28577,Office Supplies
Staples office supplies purchase invoice ₹26675,Office Supplies
Office Depot office supplies purchase invoice ₹24223,Office Supplies
Flipkart office supplies purchase invoice ₹14873,Office Supplies
Amazon office supplies purchase invoice ₹9565,Office Supplies
Reliance office supplies purchase invoice ₹33892,Office Supplies
Staples office supplies purchase invoice ₹32843,Office Supplies
Office Depot office supplies purchase invoice ₹6457,Office Supplies
Flipkart office supplies purchase invoice ₹3587,Office Supplies
Amazon office supplies purchase invoice ₹7685,Office Supplies
Reliance office supplies purchase invoice ₹10516,Office Supplies
Staples office supplies purchase invoice ₹10984,Office Supplies
Office Depot office supplies purchase invoice ₹28166,Office Supplies
AWS monthly software subscription payment ₹4663,Cloud/Software
Azure monthly software subscription payment ₹25716,Cloud/Software
Google monthly software subscription payment ₹25509,Cloud/Software
Adobe monthly software subscription payment ₹31174,Cloud/Software
Microsoft monthly software subscription payment ₹16976,Cloud/Software
AWS monthly software subscription payment ₹1252,Cloud/Software
Azure monthly software subscription payment ₹8007,Cloud/Software
Google monthly software subscription payment ₹17986,Cloud/Software
Adobe monthly software subscription payment ₹22793,Cloud/Software
Microsoft monthly software subscription payment ₹7810,Cloud/Software
AWS monthly software subscription payment ₹19734,Cloud/Software
Azure monthly software subscription payment ₹28992,Cloud/Software
Google monthly software subscription payment ₹10865,Cloud/Software
Adobe monthly software subscription payment ₹30235,Cloud/Software
Microsoft monthly software subscription payment ₹712,Cloud/Software
AWS monthly software subscription payment ₹17761,Cloud/Software
Azure monthly software subscription payment ₹33306,Cloud/Software
Google monthly software subscription payment ₹12208,Cloud/Software
Adobe monthly software subscription payment ₹33771,Cloud/Software
Microsoft monthly software subscription payment ₹7473,Cloud/Software
AWS monthly software subscription payment ₹20058,Cloud/Software
Azure monthly software subscription payment ₹33770,Cloud/Software
Google monthly software subscription payment ₹13535,Cloud/Software
Adobe monthly software subscription payment ₹10516,Cloud/Software
Microsoft monthly software subscription payment ₹25004,Cloud/Software
AWS monthly software subscription payment ₹11087,Cloud/Software
Azure monthly software subscription payment ₹537,Cloud/Software
Google monthly software subscription payment ₹21743,Cloud/Software
Adobe monthly software subscription payment ₹32521,Cloud/Software
Microsoft monthly software subscription payment ₹1776,Cloud/Software
AWS monthly software subscription payment ₹7831,Cloud/Software
Azure monthly software subscription payment ₹24288,Cloud/Software
Google monthly software subscription payment ₹20653,Cloud/Software
Adobe monthly software subscription payment ₹16192,Cloud/Software
Microsoft monthly software subscription payment ₹4296,Cloud/Software
AWS monthly software subscription payment ₹16285,Cloud/Software
Azure monthly software subscription payment ₹5661,Cloud/Software
Google monthly software subscription payment ₹6113,Cloud/Software
Adobe monthly software subscription payment ₹32349,Cloud/Software
Microsoft monthly software subscription payment ₹5035,Cloud/Software
AWS monthly software subscription payment ₹8741,Cloud/Software
Azure monthly software subscription payment ₹8914,Cloud/Software
Google monthly software subscription payment ₹31648,Cloud/Software
Adobe monthly software subscription payment ₹11321,Cloud/Software
Microsoft monthly software subscription payment ₹17870,Cloud/Software
AWS monthly software subscription payment ₹28230,Cloud/Software
Azure monthly software subscription payment ₹14380,Cloud/Software
Google monthly software subscription payment ₹13682,Cloud/Software
Adobe monthly software subscription payment ₹20928,Cloud/Software
Microsoft monthly software subscription payment ₹26648,Cloud/Software
Airtel utility service monthly bill ₹24972,Utilities
Jio utility service monthly bill ₹29211,Utilities
BSNL utility service monthly bill ₹34419,Utilities
Reliance utility service monthly bill ₹30088,Utilities
Tata utility service monthly bill ₹8430,Utilities
Airtel utility service monthly bill ₹16746,Utilities
Jio utility service monthly bill ₹15225,Utilities
BSNL utility service monthly bill ₹4696,Utilities
Reliance utility service monthly bill ₹22656,Utilities
Tata utility service monthly bill ₹1878,Utilities
Airtel utility service monthly bill ₹15580,Utilities
Jio utility service monthly bill ₹14932,Utilities
BSNL utility service monthly bill ₹971,Utilities
Reliance utility service monthly bill ₹5152,Utilities
Tata utility service monthly bill ₹4358,Utilities
Airtel utility service monthly bill ₹15503,Utilities
Jio utility service monthly bill ₹4917,Utilities
BSNL utility service monthly bill ₹2558,Utilities
Reliance utility service monthly bill ₹22154,Utilities
Tata utility service monthly bill ₹5143,Utilities
Airtel utility service monthly bill ₹34195,Utilities
Jio utility service monthly bill ₹16097,Utilities
BSNL utility service monthly bill ₹18750,Utilities
Reliance utility service monthly bill ₹32312,Utilities
Tata utility service monthly bill ₹14540,Utilities
Airtel utility service monthly bill ₹9171,Utilities
Jio utility service monthly bill ₹31476,Utilities
BSNL utility service monthly bill ₹16425,Utilities
Reliance utility service monthly bill ₹31496,Utilities
Tata utility service monthly bill ₹27177,Utilities
Airtel utility service monthly bill ₹12978,Utilities
Jio utility service monthly bill ₹6681,Utilities
BSNL utility service monthly bill ₹6852,Utilities
Reliance utility service monthly bill ₹28749,Utilities
Tata utility service monthly bill ₹23719,Utilities
Airtel utility service monthly bill ₹28259,Utilities
Jio utility service monthly bill ₹27441,Utilities
BSNL utility service monthly bill ₹31106,Utilities
Reliance utility service monthly bill ₹4050,Utilities
Tata utility service monthly bill ₹6949,Utilities
Airtel utility service monthly bill ₹4472,Utilities
Jio utility service monthly bill ₹26886,Utilities
BSNL utility service monthly bill ₹22736,Utilities
Reliance utility service monthly bill ₹7661,Utilities
Tata utility service monthly bill ₹16795,Utilities
Airtel utility service monthly bill ₹13056,Utilities
Jio utility service monthly bill ₹12965,Utilities
BSNL utility service monthly bill ₹29900,Utilities
Reliance utility service monthly bill ₹9686,Utilities
Tata utility service monthly bill ₹28148,Utilities
IndiGo business travel booking invoice ₹12525,Travel
IRCTC business travel booking invoice ₹18754,Travel
OYO business travel booking invoice ₹30818,Travel
Uber business travel booking invoice ₹16871,Travel
MakeMyTrip business travel booking invoice ₹5440,Travel
IndiGo business travel booking invoice ₹29541,Travel
IRCTC business travel booking invoice ₹6916,Travel
OYO business travel booking invoice ₹3815,Travel
Uber business travel booking invoice ₹1467,Travel
MakeMyTrip business travel booking invoice ₹6612,Travel
IndiGo business travel booking invoice ₹15991,Travel
IRCTC business travel booking invoice ₹11399,Travel
OYO business travel booking invoice ₹27134,Travel
Uber business travel booking invoice ₹32326,Travel
MakeMyTrip business travel booking invoice ₹32046,Travel
IndiGo business travel booking invoice ₹14508,Travel
IRCTC business travel booking invoice ₹26782,Travel
OYO business travel booking invoice ₹4342,Travel
Uber business travel booking invoice ₹11289,Travel
MakeMyTrip business travel booking invoice ₹25336,Travel
IndiGo business travel booking invoice ₹641,Travel
IRCTC business travel booking invoice ₹26086,Travel
OYO business travel booking invoice ₹17880,Travel
Uber business travel booking invoice ₹30319,Travel
MakeMyTrip business travel booking invoice ₹19194,Travel
IndiGo business travel booking invoice ₹28222,Travel
IRCTC business travel booking invoice ₹32394,Travel
OYO business travel booking invoice ₹10644,Travel
Uber business travel booking invoice ₹12945,Travel
MakeMyTrip business travel booking invoice ₹19945,Travel
IndiGo business travel booking invoice ₹14767,Travel
IRCTC business travel booking invoice ₹4332,Travel
OYO business travel booking invoice ₹4494,Travel
Uber business travel booking invoice ₹21052,Travel
MakeMyTrip business travel booking invoice ₹4246,Travel
IndiGo business travel booking invoice ₹3786,Travel
IRCTC business travel booking invoice ₹31746,Travel
OYO business travel booking invoice ₹33454,Travel
Uber business travel booking invoice ₹10817,Travel
MakeMyTrip business travel booking invoice ₹4227,Travel
IndiGo business travel booking invoice ₹33781,Travel
IRCTC business travel booking invoice ₹5750,Travel
OYO business travel booking invoice ₹12678,Travel
Uber business travel booking invoice ₹4990,Travel
MakeMyTrip business travel booking invoice ₹4953,Travel
IndiGo business travel booking invoice ₹15914,Travel
IRCTC business travel booking invoice ₹26961,Travel
OYO business travel booking invoice ₹8356,Travel
Uber business travel booking invoice ₹16635,Travel
MakeMyTrip business travel booking invoice ₹3104,Travel
Reliance inventory procurement purchase invoice ₹5872,Inventory
Tata inventory procurement purchase invoice ₹27974,Inventory
Flipkart inventory procurement purchase invoice ₹34761,Inventory
Wholesale Hub inventory procurement purchase invoice ₹21233,Inventory
Industrial Supply inventory procurement purchase invoice ₹17589,Inventory
Reliance inventory procurement purchase invoice ₹13886,Inventory
Tata inventory procurement purchase invoice ₹21090,Inventory
Flipkart inventory procurement purchase invoice ₹16142,Inventory
Wholesale Hub inventory procurement purchase invoice ₹17907,Inventory
Industrial Supply inventory procurement purchase invoice ₹26438,Inventory
Reliance inventory procurement purchase invoice ₹9077,Inventory
Tata inventory procurement purchase invoice ₹20160,Inventory
Flipkart inventory procurement purchase invoice ₹30464,Inventory
Wholesale Hub inventory procurement purchase invoice ₹21220,Inventory
Industrial Supply inventory procurement purchase invoice ₹5254,Inventory
Reliance inventory procurement purchase invoice ₹1110,Inventory
Tata inventory procurement purchase invoice ₹30534,Inventory
Flipkart inventory procurement purchase invoice ₹7052,Inventory
Wholesale Hub inventory procurement purchase invoice ₹5301,Inventory
Industrial Supply inventory procurement purchase invoice ₹14469,Inventory
Reliance inventory procurement purchase invoice ₹33653,Inventory
Tata inventory procurement purchase invoice ₹17880,Inventory
Flipkart inventory procurement purchase invoice ₹9180,Inventory
Wholesale Hub inventory procurement purchase invoice ₹23372,Inventory
Industrial Supply inventory procurement purchase invoice ₹5008,Inventory
Reliance inventory procurement purchase invoice ₹16509,Inventory
Tata inventory procurement purchase invoice ₹24717,Inventory
Flipkart inventory procurement purchase invoice ₹19176,Inventory
Wholesale Hub inventory procurement purchase invoice ₹10838,Inventory
Industrial Supply inventory procurement purchase invoice ₹29216,Inventory
Reliance inventory procurement purchase invoice ₹20325,Inventory
Tata inventory procurement purchase invoice ₹1012,Inventory
Flipkart inventory procurement purchase invoice ₹20120,Inventory
Wholesale Hub inventory procurement purchase invoice ₹7288,Inventory
Industrial Supply inventory procurement purchase invoice ₹9300,Inventory
Reliance inventory procurement purchase invoice ₹17832,Inventory
Tata inventory procurement purchase invoice ₹8064,Inventory
Flipkart inventory procurement purchase invoice ₹7514,Inventory
Wholesale Hub inventory procurement purchase invoice ₹10687,Inventory
Industrial Supply inventory procurement purchase invoice ₹18348,Inventory
Reliance inventory procurement purchase invoice ₹18965,Inventory
Tata inventory procurement purchase invoice ₹14303,Inventory
Flipkart inventory procurement purchase invoice ₹22971,Inventory
Wholesale Hub inventory procurement purchase invoice ₹13842,Inventory
Industrial Supply inventory procurement purchase invoice ₹17800,Inventory
Reliance inventory procurement purchase invoice ₹33622,Inventory
Tata inventory procurement purchase invoice ₹32516,Inventory
Flipkart inventory procurement purchase invoice ₹16957,Inventory
Wholesale Hub inventory procurement purchase invoice ₹3829,Inventory
Industrial Supply inventory procurement purchase invoice ₹6548,Inventory
Blue Dart courier charges for warehouse delivery,Logistics
DHL shipment fees for international cargo,Logistics
FedEx freight charges for bulk order dispatch,Logistics
Delhivery last-mile delivery charges,Logistics
Warehouse storage rent for Q2,Logistics
Freight forwarding charges from Mumbai port,Logistics
Trucking charges for raw material transport,Logistics
XpressBees delivery partner charges,Logistics
Customs clearance charges for imported goods,Logistics
Packaging and dispatch charges for e-commerce orders,Logistics
Amazon freight relay charges,Logistics
Return logistics handling fee,Logistics
A4 paper reams purchase for office,Office Supplies
Staplers and staple pins bulk order,Office Supplies
Printer ink cartridges refill,Office Supplies
Whiteboard markers and erasers,Office Supplies
Office chair purchase for new employee,Office Supplies
Desk organizers and file folders,Office Supplies
Ballpoint pens and notebooks bulk order,Office Supplies
Sticky notes and highlighters pack,Office Supplies
Toner cartridge replacement for HP printer,Office Supplies
Paper shredder purchase,Office Supplies
Lamination pouches and binding supplies,Office Supplies
Scissor tape and glue stationery items,Office Supplies
AWS monthly cloud hosting bill,Cloud/Software
Google Workspace license renewal,Cloud/Software
Microsoft 365 subscription for 50 users,Cloud/Software
Zoom video conferencing annual plan,Cloud/Software
Slack Pro plan monthly invoice,Cloud/Software
GitHub Enterprise license fee,Cloud/Software
Jira Software subscription renewal,Cloud/Software
Figma team plan monthly billing,Cloud/Software
Salesforce CRM monthly subscription,Cloud/Software
Adobe Creative Cloud team license,Cloud/Software
MongoDB Atlas cloud database charges,Cloud/Software
Heroku dyno charges for app hosting,Cloud/Software
Datadog monitoring subscription,Cloud/Software
SendGrid email API monthly charges,Cloud/Software
Twilio SMS API usage charges,Cloud/Software
Electricity bill for office premises April,Utilities
Water charges for factory building,Utilities
Internet broadband bill Airtel leased line,Utilities
Mobile phone bills for staff,Utilities
Gas connection charges for canteen,Utilities
UPS maintenance charges for server room,Utilities
Generator fuel charges for factory,Utilities
Municipal water tax payment,Utilities
BSNL landline and broadband charges,Utilities
Office internet and WiFi charges,Utilities
Electricity meter maintenance fee,Utilities
Solar panel maintenance contract,Utilities
Flight tickets Mumbai to Delhi team offsite,Travel
Hotel accommodation for sales conference,Travel
Uber/Ola cab reimbursements for client visits,Travel
Train tickets for regional team travel,Travel
Meal allowance for outstation employees,Travel
IRCTC booking charges for business travel,Travel
Airport lounge access charges,Travel
Car rental for executive travel,Travel
Visa processing fee for international travel,Travel
Travel insurance premium for overseas trip,Travel
Boarding and lodging client meeting Bangalore,Travel
Per diem allowance for field staff,Travel
Raw material purchase steel sheets,Inventory
Electronic components bulk procurement,Inventory
CPU processors and RAM modules purchase,Inventory
Cotton fabric rolls for garment manufacturing,Inventory
Packaging boxes and bubble wrap purchase,Inventory
Chemical raw materials for production,Inventory
Spare parts for machinery maintenance,Inventory
Mobile phones bulk purchase for resale,Inventory
LED panels wholesale purchase,Inventory
Printing supplies and raw ink stock,Inventory
Nuts bolts and fasteners stock purchase,Inventory
Plastic granules for manufacturing,Inventory
Wood and plywood purchase for furniture,Inventory
Finished goods transfer to warehouse inventory,Inventory
